------------------------------------------------------------------------

_Search parameters_:
Nucleus:39K

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
39 	K      	19 	20 	8430.3    	1.3     	                  	                         
39 	K      	19 	20 	8466.2    	1.3     	                  	                         
39 	K      	19 	20 	8476.8    	1.6     	                  	                         
39 	K      	19 	20 	8484.9    	1.3     	                  	                         
39 	K      	19 	20 	8510.0    	1.3     	                  	                         
39 	K      	19 	20 	8514.4    	1.3     	                  	                         
39 	K      	19 	20 	8525.0    	1.3     	                  	                         
39 	K      	19 	20 	8531.3    	1.3     	(3/2-,5/2)        	                         
39 	K      	19 	20 	8548.3    	1.3     	                  	                         
39 	K      	19 	20 	8560.1    	1.6     	                  	                         
39 	K      	19 	20 	8567.9    	1.4     	                  	                         
39 	K      	19 	20 	8584.5    	1.4     	(3/2-,5/2,7/2+)   	                         
39 	K      	19 	20 	8593.0    	1.6     	                  	                         
39 	K      	19 	20 	8598.9    	1.6     	                  	                         
39 	K      	19 	20 	8611      	        	                  	                         
39 	K      	19 	20 	8625.7    	1.6     	(3/2,5/2,7/2+)    	                         
39 	K      	19 	20 	8627.7    	1.6     	(3/2-,5/2)        	                         
39 	K      	19 	20 	8639.1    	1.6     	                  	                         
39 	K      	19 	20 	8655.8    	1.6     	                  	                         
39 	K      	19 	20 	8667.6    	1.6     	                  	                         
39 	K      	19 	20 	8673.0    	1.6     	                  	                         
39 	K      	19 	20 	8675.1    	1.6     	                  	                         
39 	K      	19 	20 	8681.4    	0.8     	(15/2+)           	                         
39 	K      	19 	20 	8684.1    	1.6     	                  	                         
39 	K      	19 	20 	8688.7    	1.6     	                  	                         
39 	K      	19 	20 	8694.0    	1.6     	                  	                         
39 	K      	19 	20 	8704.7    	1.6     	                  	                         
39 	K      	19 	20 	8709.9    	1.6     	                  	                         
39 	K      	19 	20 	8715.0    	1.6     	                  	                         
39 	K      	19 	20 	8720.5    	1.6     	                  	                         
39 	K      	19 	20 	8893      	30      	3/2+,5/2+         	                         
39 	K      	19 	20 	9012      	50      	3/2+,5/2+         	                         
39 	K      	19 	20 	9107      	30      	(3/2+,5/2+)       	                         
39 	K      	19 	20 	9271.1    	0.8     	(19/2-)           	                         
39 	K      	19 	20 	9300      	        	                  	                         
39 	K      	19 	20 	9363.8    	0.7     	(17/2+)           	                         
39 	K      	19 	20 	9405      	50      	                  	                         
39 	K      	19 	20 	9616      	20      	                  	                         
39 	K      	19 	20 	9665      	20      	                  	                         
39 	K      	19 	20 	9694      	20      	                  	                         
39 	K      	19 	20 	9704      	20      	(3/2+,5/2+)       	                         
39 	K      	19 	20 	9772      	20      	                  	                         
39 	K      	19 	20 	9808      	50      	                  	                         
39 	K      	19 	20 	9909.6    	0.9     	(21/2+)           	1.4 PS LT                
39 	K      	19 	20 	9928      	20      	                  	                         
39 	K      	19 	20 	9987      	20      	                  	                         
39 	K      	19 	20 	9996      	20      	                  	                         
39 	K      	19 	20 	10264.4   	0.9     	(19/2-)           	                         
39 	K      	19 	20 	10278.5   	0.9     	(19/2)            	                         
39 	K      	19 	20 	10303.6   	0.8     	(19/2+)           	                         
39 	K      	19 	20 	10383.4   	0.8     	(19/2)            	                         
39 	K      	19 	20 	10704     	50      	                  	                         
39 	K      	19 	20 	10864     	50      	                  	                         
39 	K      	19 	20 	10882.9   	1       	                  	                         
39 	K      	19 	20 	10997.5   	0.8     	(23/2-)           	                         
39 	K      	19 	20 	11034     	50      	                  	                         
39 	K      	19 	20 	11156     	50      	                  	                         
39 	K      	19 	20 	11590.6   	1.3     	                  	                         
39 	K      	19 	20 	11691.2   	0.8     	(21/2+)           	                         
39 	K      	19 	20 	12069.5   	0.8     	(23/2)            	                         
39 	K      	19 	20 	12209.5   	0.8     	(23/2-)           	                         
39 	K      	19 	20 	12355.7   	1.2     	                  	                         
39 	K      	19 	20 	12616.1   	1.5     	                  	                         
39 	K      	19 	20 	12893.6   	1.1     	                  	                         
39 	K      	19 	20 	13010.0   	1.1     	                  	                         
39 	K      	19 	20 	13266.1   	0.8     	(25/2)            	                         
39 	K      	19 	20 	13506.9   	1.2     	(23/2-)           	                         
39 	K      	19 	20 	13776.9   	1.4     	                  	                         
39 	K      	19 	20 	14061.1   	0.8     	(27/2)            	                         
39 	K      	19 	20 	14866.0   	1.2     	                  	                         
39 	K      	19 	20 	16140.2   	1.5     	                  	                         
39 	K      	19 	20 	18531.6   	1.4     	                  	                         
39 	K      	19 	20 	18611.9   	1.3     	                  	                         
 
A  	Element	Z  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               	E Gamma   	Unc     	I Gamma   	Unc     	M Gamma   	M Ratio   	Unc       	Conv. C.  	Unc     
39 	K      	19 	20 	2522.5    	0.2     	1/2+              	57 FS 6                  	2522.4    	0.3     	100       	        	M1+E2     	0.84    	0.02      	          	        
39 	K      	19 	20 	2814.3    	0.2     	7/2-              	47 PS 2                  	2814.24   	0.1     	100       	        	M2+E3     	+0.15   	0.02      	          	        
39 	K      	19 	20 	2814.3    	0.2     	7/2-              	47 PS 2                  	291.8     	        	6         	LT      	          	        	          	          	        
39 	K      	19 	20 	3019.2    	0.2     	3/2-              	14 FS 2                  	205       	        	14        	LT      	          	        	          	          	        
39 	K      	19 	20 	3019.2    	0.2     	3/2-              	14 FS 2                  	3018.8    	0.4     	100       	        	E1(+M2)   	+0.02   	0.04      	          	        
