------------------------------------------------------------------------

_Search parameters_:
Nucleus:15N

------------------------------------------------------------------------

A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         	1961.8    	5       	6.20      	26      	[M1+E2]   	-0.012  	+5-6      	          	        
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         	10529.3   	5       	0.3       	LT      	          	        	          	          	        
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         	3377.9    	5       	50.1      	5       	[M1]      	        	          	          	        
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         	1381.3    	5       	0.78      	26      	[E1+M2]   	-0.20   	+3-2      	          	        
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         	5262.1    	5       	100.0     	5       	[M1+E2]   	+0.27   	3         	          	        
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         	3232.1    	5       	81.1      	13      	[M1+E2]   	-0.066  	5         	          	        
15 	N      	7  	8  	10533.3   	5       	5/2+              	                         	4208.9    	5       	19.9      	3       	[E1+M2]   	-0.028  	4         	          	        
15 	N      	7  	8  	10693.2   	3       	9/2+              	12 FS 6                  	5421.9    	3       	100.0     	5       	[E2]      	        	          	          	        
15 	N      	7  	8  	10693.2   	3       	9/2+              	12 FS 6                  	3537.8    	3       	3.41      	16      	[E2]      	        	          	          	        
15 	N      	7  	8  	10693.2   	3       	9/2+              	12 FS 6                  	3125.8    	10      	58.9      	10      	[M1+E2]   	-0.118  	8         	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	5402.1    	3       	1.5       	2       	[E1+M2]   	-0.13   	7         	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	3400.7    	3       	4.4       	2       	[E1]      	        	          	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	1549.9    	3       	0.4       	2       	[M1+E2]   	+0.11   	3         	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	10697.8   	3       	100.0     	16      	[M1+E2]   	-0.180  	+2-6      	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	4377.4    	3       	7.2       	2       	[M1+E2]   	-0.135  	15        	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	2389.1    	3       	1.5       	2       	[E1]      	        	          	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	1479.7    	9       	2.8       	2       	[M1+E2]   	-0.049  	+5-6      	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	5430.6    	3       	71.1      	12      	[E1+M2]   	-0.24   	+4-8      	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	3546.4    	3       	0.8       	2       	[E1]      	        	          	          	        
15 	N      	7  	8  	10701.9   	3       	3/2-              	0.2 KEV                  	1652.1    	3       	0.4       	2       	[E1]      	        	          	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	3649      	3       	15.14     	20      	[M1+E2]   	-0.14   	3         	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	1754      	3       	0.58      	20      	          	        	          	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	5505      	3       	30.1      	4       	[M1+E2]   	+0.55   	2         	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	3503      	3       	11.26     	20      	[M1+E2]   	+0.12   	2         	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	1652      	3       	1.75      	20      	          	        	          	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	10800     	3       	100.0     	8       	[E1+M2 ]  	-0.02   	1         	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	4480      	3       	10.5      	4       	[E1+M2]   	-0.07   	5         	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	2491      	3       	6.99      	20      	[M1+E2]   	-0.12   	3         	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	1649      	3       	8.16      	20      	          	        	          	          	        
15 	N      	7  	8  	10804     	2       	3/2+              	0.001 KEV LT             	5534      	3       	9.51      	20      	[M1+E2]   	+0.63   	4         	          	        
15 	N      	7  	8  	11615     	4       	1/2+              	405 KEV 6                	11610     	4       	100       	4       	[E1]      	        	          	          	        
15 	N      	7  	8  	11615     	4       	1/2+              	405 KEV 6                	5291      	4       	2.1       	17      	[E1]      	        	          	          	        
15 	N      	7  	8  	11615     	4       	1/2+              	405 KEV 6                	6345      	4       	1.1       	LT      	          	        	          	          	        
15 	N      	7  	8  	11615     	4       	1/2+              	405 KEV 6                	6316      	4       	8.2       	17      	[M1]      	        	          	          	        
15 	N      	7  	8  	12522     	8       	5/2+              	58 KEV 4                 	7221      	10      	1.1       	LT      	          	        	          	          	        
15 	N      	7  	8  	12522     	8       	5/2+              	58 KEV 4                 	12516     	10      	1.2       	5       	[M2]      	        	          	          	        
15 	N      	7  	8  	12522     	8       	5/2+              	58 KEV 4                 	6197      	10      	6.2       	7       	[E1]      	        	          	          	        
