A  	Element	A  	N  	Energy    	Unc     	JPi               	T1/2 (txt)               
41 	CA     	20 	21 	6851.8    	15      	5/2+              	                         
41 	CA     	20 	21 	6869.5    	10      	(5/2)-            	                         
41 	CA     	20 	21 	6901.2    	24      	5/2+              	                         
41 	CA     	20 	21 	6917.3    	25      	(9/2)+            	                         
41 	CA     	20 	21 	6931.8    	19      	                  	                         
41 	CA     	20 	21 	6966      	15      	3/2+,5/2+         	                         
41 	CA     	20 	21 	6990.6    	10      	5/2-              	                         
41 	CA     	20 	21 	7014.8    	7       	(9/2)+            	                         
41 	CA     	20 	21 	7026.5    	15      	                  	                         
41 	CA     	20 	21 	7041.0    	5       	3/2-              	                         
41 	CA     	20 	21 	7073.1    	25      	1/2-              	                         
41 	CA     	20 	21 	7092.7    	18      	(9/2)+            	                         
41 	CA     	20 	21 	7107.8    	25      	(5/2:11/2)-       	                         
41 	CA     	20 	21 	7115.8    	23      	                  	                         
41 	CA     	20 	21 	7137.5    	27      	5/2+              	                         
41 	CA     	20 	21 	7145.6    	8       	7/2-              	                         
41 	CA     	20 	21 	7164.2    	21      	(9/2)+            	                         
41 	CA     	20 	21 	7176.1    	10      	(5/2,7/2)-        	                         
41 	CA     	20 	21 	7191      	3       	1/2-              	                         
41 	CA     	20 	21 	7225      	5       	                  	                         
41 	CA     	20 	21 	7237.8    	23      	5/2-              	                         
41 	CA     	20 	21 	7268      	3       	(5/2)+            	                         
41 	CA     	20 	21 	7295.8    	10      	5/2-              	                         
41 	CA     	20 	21 	7308.4    	9       	7/2-              	                         
41 	CA     	20 	21 	7332      	5       	                  	                         
41 	CA     	20 	21 	7340.6    	24      	3/2+              	                         
41 	CA     	20 	21 	7365.3    	14      	(5/2)-            	                         
41 	CA     	20 	21 	7367      	15      	1/2+              	                         
41 	CA     	20 	21 	7377.1    	9       	(5/2)-            	                         
41 	CA     	20 	21 	7392.9    	19      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	7417.1    	15      	(7/2,9/2)-        	                         
41 	CA     	20 	21 	7437.3    	11      	5/2-              	                         
41 	CA     	20 	21 	7440      	20      	1/2+&(3/2,5/2)+   	                         
41 	CA     	20 	21 	7459      	3       	5/2-              	                         
41 	CA     	20 	21 	7487.5    	6       	+                 	                         
41 	CA     	20 	21 	7508.8    	17      	7/2-              	                         
41 	CA     	20 	21 	7524.7    	14      	7/2-              	                         
41 	CA     	20 	21 	7533      	10      	(5/2:11/2)+       	                         
41 	CA     	20 	21 	7537.9    	14      	(5/2)-            	                         
41 	CA     	20 	21 	7553      	8       	                  	                         
41 	CA     	20 	21 	7576.4    	21      	+                 	                         
41 	CA     	20 	21 	7587      	15      	(5/2,7/2)-        	                         
41 	CA     	20 	21 	7607.6    	22      	(9/2)+            	                         
41 	CA     	20 	21 	7614      	8       	                  	                         
41 	CA     	20 	21 	7631.3    	16      	(9/2)+            	                         
41 	CA     	20 	21 	7639      	5       	                  	                         
41 	CA     	20 	21 	7657.0    	13      	(1/2,3/2,5/2+)    	                         
41 	CA     	20 	21 	7678.6    	20      	                  	                         
41 	CA     	20 	21 	7706.7    	10      	(GE 5/2)          	                         
41 	CA     	20 	21 	7720      	20      	                  	                         
